Date;Tair;RH;RRR
14.06.2016 15:00;21.1;32;
14.06.2016 12:00;20.3;31;
14.06.2016 9:00;18.9;34;
14.06.2016 6:00;10.3;86;
14.06.2016 3:00;7.4;91;
14.06.2016 0:00;10.2;75;
13.06.2016 21:00;14.8;53;
13.06.2016 18:00;17.5;42;
13.06.2016 15:00;16.5;48;
13.06.2016 12:00;15.5;54;
13.06.2016 9:00;12.2;67;
13.06.2016 6:00;10.5;81;
13.06.2016 3:00;10.3;84;
13.06.2016 0:00;11;80;
12.06.2016 21:00;12;71;2
12.06.2016 18:00;12.4;69;2
12.06.2016 15:00;10.5;86;
12.06.2016 12:00;12.7;65;
12.06.2016 9:00;12.1;69;14
12.06.2016 6:00;10.8;92;14
12.06.2016 3:00;10;95;
12.06.2016 0:00;12.2;91;
11.06.2016 21:00;13;88;6
11.06.2016 18:00;13.1;93;9
11.06.2016 15:00;16.6;80;
11.06.2016 12:00;14.9;83;
11.06.2016 9:00;13.4;92;3
11.06.2016 6:00;13.2;83;
11.06.2016 3:00;10.8;77;
11.06.2016 0:00;10.1;75;
10.06.2016 21:00;15.1;47;
10.06.2016 18:00;18.6;34;
10.06.2016 15:00;19.2;30;
10.06.2016 12:00;18.5;33;
10.06.2016 9:00;16;42;
10.06.2016 6:00;9.8;97;
10.06.2016 3:00;8.6;96;
10.06.2016 0:00;11.5;93;
09.06.2016 21:00;13.4;85;6
09.06.2016 18:00;14.7;77;6
09.06.2016 15:00;13.2;87;
09.06.2016 12:00;16.7;64;
09.06.2016 9:00;14.1;74;0.5
09.06.2016 6:00;11.2;81;0.3
09.06.2016 3:00;11.2;81;0.5
09.06.2016 0:00;12.5;64;
08.06.2016 21:00;14.5;53;
08.06.2016 18:00;16.6;40;
08.06.2016 15:00;15.2;40;
08.06.2016 12:00;13;46;
08.06.2016 9:00;10.5;46;
08.06.2016 6:00;7.6;62;
08.06.2016 3:00;6.9;62;
08.06.2016 0:00;7.6;55;
07.06.2016 21:00;9.2;53;2
07.06.2016 18:00;9.4;57;3
07.06.2016 15:00;8.3;61;
07.06.2016 12:00;7.7;73;
07.06.2016 9:00;6.9;79;3
07.06.2016 6:00;6.4;82;4
07.06.2016 3:00;6.9;87;
07.06.2016 0:00;7.1;89;
06.06.2016 21:00;7.1;90;3
