DateTime,ALBEDO_1_1_1,APAR_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,P_1_1_1,RH_1_1_1,SHF_1_1_1,SHF_1_1_2,SHF_1_1_3,SWC_1_1_1,SWC_1_1_2,SWC_1_1_3,SWC_1_1_4,SWC_1_1_5,SWC_1_1_6,SW_IN_1_1_1,SW_OUT_1_1_1,TA_1_1_1,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_4,TS_1_1_5,TS_1_1_6,time
yyyy-mm-dd HH:MM:SS,%,umol/m^2/s,W/m^2,W/m^2,W/m^2,umol/m^2/s,m,%,W/m^2,W/m^2,W/m^2,%,%,%,%,%,%,W/m^2,W/m^2,deg C,deg C,deg C,deg C,deg C,deg C,deg C,seconds since 1970-01-01 00:00:00.0
2023-06-10 14:30,0.171576,32.6308,-101.844,34.1319,439.38699999999994,1087.69,0.0,32.2409,--,69.3828,-87.7388,32.668,--,34.2145,41.816700000000004,35.0972,36.8637,695.443,120.08,16.001000000000033,21.50400000000002,--,18.420000000000016,17.235000000000014,22.540999999999997,22.80000000000001,1686407400.0
2023-06-10 15:00,0.175103,20.2794,-98.3782,27.7292,228.83599999999998,675.9789999999999,0.0,33.368,--,18.3606,-25.954,32.7055,--,34.2498,41.8202,35.1618,36.8813,430.37300000000005,75.4303,15.598000000000013,21.718000000000018,--,18.58200000000005,17.249000000000024,21.874000000000024,23.305000000000007,1686409200.0
2023-06-10 15:30,0.177894,25.5858,-102.712,28.7167,317.66,852.8589999999999,0.0,34.9037,--,40.504,-47.1463,32.723,--,34.2662,41.818299999999994,35.2267,36.918,546.6469999999999,97.5578,15.83400000000006,21.897000000000048,--,18.726,17.27000000000004,22.05200000000002,23.83400000000006,1686411000.0
2023-06-10 16:00,0.188031,21.4669,-108.29899999999999,30.7971,328.329,715.562,0.0,34.4056,--,45.9033,-46.3368,32.7228,--,34.295700000000004,41.8317,35.278200000000005,36.9193,575.057,107.632,16.100000000000023,21.94100000000003,--,18.862000000000023,17.299000000000035,23.675999999999988,25.271000000000015,1686412800.0
2023-06-10 16:30,0.18393199999999998,8.952919999999999,-99.3786,19.7212,90.9439,298.431,0.0,34.699,--,-16.4177,14.3461,32.7258,--,34.3225,41.8363,35.3252,36.944,258.222,48.1784,15.16900000000004,22.007000000000005,--,19.0,17.335000000000036,20.0,20.40100000000001,1686414600.0
2023-06-10 17:00,0.187869,16.9695,-111.62299999999999,18.3564,157.54,565.65,0.0,35.7695,--,11.2803,-5.16804,32.6988,--,34.3533,41.8517,35.3368,36.9617,355.58099999999996,68.062,15.191000000000031,21.927999999999997,--,19.128000000000043,17.372000000000014,18.942000000000007,17.874000000000024,1686416400.0
2023-06-10 17:30,0.190588,12.6077,-89.3332,15.3189,104.736,420.25800000000004,0.0,36.6423,--,-4.19016,3.42429,32.6472,--,34.3735,41.833999999999996,35.346,36.984,260.033,50.6445,15.286000000000001,21.724000000000046,--,19.244000000000028,17.412000000000035,18.841000000000008,17.65100000000001,1686418200.0
2023-06-10 18:00,0.31246599999999997,11.0056,-112.14399999999999,10.7909,-7.032369999999999,366.853,0.0,34.9114,--,-12.108,18.8525,32.5883,--,34.3943,41.82979999999999,35.3225,36.9893,161.679,45.7763,14.819000000000017,21.51800000000003,--,19.348000000000013,17.456000000000017,17.39500000000004,16.519000000000062,1686420000.0
2023-06-10 18:30,0.22011,14.2983,-124.884,8.36859,96.4382,476.611,0.0,33.9884,--,1.03409,19.5218,32.5127,--,34.42,41.8545,35.283500000000004,36.993500000000004,294.486,64.7953,15.038000000000011,21.237000000000023,--,19.42900000000003,17.501000000000033,17.26400000000001,15.909000000000049,1686421800.0
2023-06-10 19:00,0.18797,6.662889999999999,-95.7319,6.1687199999999995,6.17404,222.09599999999998,0.0,36.2517,--,-30.0007,26.6527,32.4397,--,34.4305,41.8655,35.23929999999999,36.990700000000004,134.183,26.1086,14.52800000000002,20.906000000000006,--,19.489000000000033,17.555999999999983,16.174000000000035,15.378000000000043,1686423600.0
